Fecha,Producto,Precio,Inventario,Despacho _Total,Dia,Estacionalidad
2024-01-01,Pan Ciabatta,0.25,768,756,Lunes,No
2024-01-01,Pan Francés,0.25,648,622,Lunes,No
2024-01-01,Pan Yema Largo,0.25,360,321,Lunes,No
2024-01-01,Pan Yema Redondo,0.25,360,334,Lunes,No
2024-01-01,Pan Chapla,0.25,144,142,Lunes,No
2024-01-01,Pan Coliza,0.25,192,193,Lunes,No
2024-01-01,Pan Integral,0.25,144,150,Lunes,No
2024-01-01,Pan Caracol,0.25,144,147,Lunes,No
2024-01-01,Pan Hamburguesa,0.4,288,297,Lunes,No
2024-01-01,Cachito,0.25,144,141,Lunes,No
2024-01-01,Pan Manjar,0.3,24,22,Lunes,No
2024-01-01,Leche,4.0,5,4,Lunes,No
2024-01-01,Jamon,2.5,6,6,Lunes,No
2024-01-01,Cafe,2.0,5,4,Lunes,No
2024-01-01,Queso,3.0,4,2,Lunes,No
2024-01-02,Pan Ciabatta,0.25,768,705,Martes,No
2024-01-02,Pan Francés,0.25,648,696,Martes,No
2024-01-02,Pan Yema Largo,0.25,360,347,Martes,No
2024-01-02,Pan Yema Redondo,0.25,360,337,Martes,No
2024-01-02,Pan Chapla,0.25,144,145,Martes,No
2024-01-02,Pan Coliza,0.25,192,191,Martes,No
2024-01-02,Pan Integral,0.25,144,144,Martes,No
2024-01-02,Pan Caracol,0.25,144,149,Martes,No
2024-01-02,Pan Hamburguesa,0.4,288,280,Martes,No
2024-01-02,Cachito,0.25,144,146,Martes,No
2024-01-02,Pan Manjar,0.3,24,22,Martes,No
2024-01-02,Leche,4.0,5,5,Martes,No
2024-01-02,Jamon,2.5,6,4,Martes,No
2024-01-02,Cafe,2.0,5,6,Martes,No
2024-01-02,Queso,3.0,4,3,Martes,No
2024-01-03,Pan Ciabatta,0.25,768,722,Miércoles,No
2024-01-03,Pan Francés,0.25,648,673,Miércoles,No
2024-01-03,Pan Yema Largo,0.25,360,352,Miércoles,No
2024-01-03,Pan Yema Redondo,0.25,360,400,Miércoles,No
2024-01-03,Pan Chapla,0.25,144,142,Miércoles,No
2024-01-03,Pan Coliza,0.25,192,200,Miércoles,No
2024-01-03,Pan Integral,0.25,144,142,Miércoles,No
2024-01-03,Pan Caracol,0.25,144,149,Miércoles,No
2024-01-03,Pan Hamburguesa,0.4,288,290,Miércoles,No
2024-01-03,Cachito,0.25,144,147,Miércoles,No
2024-01-03,Pan Manjar,0.3,24,22,Miércoles,No
2024-01-03,Leche,4.0,5,2,Miércoles,No
