Fecha,Producto,Precio,Inventario,Despacho_Total ,Dia
2024-01-01,Pan Ciabatta,0.25,768,756,Lunes
2024-01-01,Pan Francés,0.25,648,622,Lunes
2024-01-01,Pan Yema Largo,0.25,360,321,Lunes
2024-01-01,Pan Yema Redondo,0.25,360,334,Lunes
2024-01-01,Pan Chapla,0.25,144,142,Lunes
2024-01-01,Pan Coliza,0.25,192,193,Lunes
2024-01-01,Pan Integral,0.25,144,150,Lunes
2024-01-01,Pan Caracol,0.25,144,147,Lunes
2024-01-01,Pan Hamburguesa,0.4,288,297,Lunes
2024-01-01,Cachito,0.25,144,141,Lunes
2024-01-01,Pan Manjar,0.3,24,22,Lunes
2024-01-01,Leche,4.0,5,4,Lunes
2024-01-01,Jamon,2.5,6,6,Lunes
2024-01-01,Cafe,2.0,5,4,Lunes
2024-01-01,Queso,3.0,4,2,Lunes
2024-01-02,Pan Ciabatta,0.25,768,705,Martes
2024-01-02,Pan Francés,0.25,648,696,Martes
2024-01-02,Pan Yema Largo,0.25,360,347,Martes
2024-01-02,Pan Yema Redondo,0.25,360,337,Martes
2024-01-02,Pan Chapla,0.25,144,145,Martes
2024-01-02,Pan Coliza,0.25,192,191,Martes
2024-01-02,Pan Integral,0.25,144,144,Martes
2024-01-02,Pan Caracol,0.25,144,149,Martes
2024-01-02,Pan Hamburguesa,0.4,288,280,Martes
2024-01-02,Cachito,0.25,144,146,Martes
2024-01-02,Pan Manjar,0.3,24,22,Martes
2024-01-02,Leche,4.0,5,5,Martes
2024-01-02,Jamon,2.5,6,4,Martes
2024-01-02,Cafe,2.0,5,6,Martes
2024-01-02,Queso,3.0,4,3,Martes
2024-01-03,Pan Ciabatta,0.25,768,722,Miércoles
2024-01-03,Pan Francés,0.25,648,673,Miércoles
2024-01-03,Pan Yema Largo,0.25,360,352,Miércoles
2024-01-03,Pan Yema Redondo,0.25,360,400,Miércoles
2024-01-03,Pan Chapla,0.25,144,142,Miércoles
2024-01-03,Pan Coliza,0.25,192,200,Miércoles
2024-01-03,Pan Integral,0.25,144,142,Miércoles
2024-01-03,Pan Caracol,0.25,144,149,Miércoles
2024-01-03,Pan Hamburguesa,0.4,288,290,Miércoles
2024-01-03,Cachito,0.25,144,147,Miércoles
2024-01-03,Pan Manjar,0.3,24,22,Miércoles
2024-01-03,Leche,4.0,5,2,Miércoles
2024-01-03,Jamon,2.5,6,6,Miércoles
2024-01-03,Cafe,2.0,5,4,Miércoles
2024-01-03,Queso,3.0,4,3,Miércoles
2024-01-04,Pan Ciabatta,0.25,768,766,Jueves
2024-01-04,Pan Francés,0.25,648,662,Jueves
2024-01-04,Pan Yema Largo,0.25,360,374,Jueves
2024-01-04,Pan Yema Redondo,0.25,360,339,Jueves
2024-01-04,Pan Chapla,0.25,144,147,Jueves
2024-01-04,Pan Coliza,0.25,192,190,Jueves
2024-01-04,Pan Integral,0.25,144,142,Jueves
2024-01-04,Pan Caracol,0.25,144,143,Jueves
2024-01-04,Pan Hamburguesa,0.4,288,299,Jueves
2024-01-04,Cachito,0.25,144,141,Jueves
2024-01-04,Pan Manjar,0.3,24,26,Jueves
2024-01-04,Leche,4.0,5,3,Jueves
2024-01-04,Jamon,2.5,6,5,Jueves
2024-01-04,Cafe,2.0,5,6,Jueves
2024-01-04,Queso,3.0,4,2,Jueves
2024-01-05,Pan Ciabatta,0.25,768,777,Viernes
2024-01-05,Pan Francés,0.25,648,632,Viernes
2024-01-05,Pan Yema Largo,0.25,360,317,Viernes
2024-01-05,Pan Yema Redondo,0.25,360,387,Viernes
2024-01-05,Pan Chapla,0.25,144,141,Viernes
2024-01-05,Pan Coliza,0.25,192,193,Viernes
2024-01-05,Pan Integral,0.25,144,142,Viernes
2024-01-05,Pan Caracol,0.25,144,150,Viernes
2024-01-05,Pan Hamburguesa,0.4,288,282,Viernes
2024-01-05,Cachito,0.25,144,145,Viernes
2024-01-05,Pan Manjar,0.3,24,23,Viernes
2024-01-05,Leche,4.0,5,4,Viernes
2024-01-05,Jamon,2.5,6,5,Viernes
2024-01-05,Cafe,2.0,5,5,Viernes
2024-01-05,Queso,3.0,4,2,Viernes
2024-01-06,Pan Ciabatta,0.25,768,724,Saturday
2024-01-06,Pan Francés,0.25,648,668,Saturday
2024-01-06,Pan Yema Largo,0.25,360,303,Saturday
2024-01-06,Pan Yema Redondo,0.25,360,334,Saturday
2024-01-06,Pan Chapla,0.25,144,145,Sábado
2024-01-06,Pan Coliza,0.25,192,199,Saturday
2024-01-06,Pan Integral,0.25,144,146,Saturday
2024-01-06,Pan Caracol,0.25,144,143,Saturday
2024-01-06,Pan Hamburguesa,0.4,288,297,Saturday
2024-01-06,Cachito,0.25,144,141,Saturday
2024-01-06,Pan Manjar,0.3,24,28,Saturday
