Fecha,Producto,Precio Promedio,Inventario,Despacho Total (Ventas),Día de la Semana,Estacionalidad (Festivo)
2024-01-01,Pan Chabatta,0.25,768,773,Lunes,No
2024-01-01,Pan Francés,0.25,648,646,Lunes,No
2024-01-01,Pan Yema Largo,0.25,360,355,Lunes,No
2024-01-01,Pan Yema Redondo,0.25,360,377,Lunes,No
2024-01-01,Pan Chapla,0.25,144,144,Lunes,No
2024-01-01,Pan Coliza,0.25,192,191,Lunes,No
2024-01-01,Pan Integral,0.25,144,142,Lunes,No
2024-01-01,Pan Caracol,0.25,144,148,Lunes,No
2024-01-01,Pan Hamburguesa,0.4,288,298,Lunes,No
2024-01-01,Cachito,0.25,144,143,Lunes,No
2024-01-01,Pan Manjar,0.3,24,22,Lunes,No
2024-01-01,Leche,4.0,5,4,Lunes,No
2024-01-01,Jamon,2.5,6,6,Lunes,No
2024-01-01,Café,2.0,5,5,Lunes,No
2024-01-01,Queso,3.0,4,2,Lunes,No
2024-01-02,Pan Chabatta,0.25,768,766,Martes,No
2024-01-02,Pan Francés,0.25,648,649,Martes,No
2024-01-02,Pan Yema Largo,0.25,360,359,Martes,No
2024-01-02,Pan Yema Redondo,0.25,360,369,Martes,No
2024-01-02,Pan Chapla,0.25,144,149,Martes,No
2024-01-02,Pan Coliza,0.25,192,200,Martes,No
2024-01-02,Pan Integral,0.25,144,140,Martes,No
2024-01-02,Pan Caracol,0.25,144,146,Martes,No
2024-01-02,Pan Hamburguesa,0.4,288,291,Martes,No
2024-01-02,Cachito,0.25,144,141,Martes,No
2024-01-02,Pan Manjar,0.3,24,24,Martes,No
2024-01-02,Leche,4.0,5,2,Martes,No
2024-01-02,Jamon,2.5,6,4,Martes,No
2024-01-02,Café,2.0,5,6,Martes,No
2024-01-02,Queso,3.0,4,2,Martes,No
2024-01-03,Pan Chabatta,0.25,768,767,Miércoles,No
2024-01-03,Pan Francés,0.25,648,655,Miércoles,No
2024-01-03,Pan Yema Largo,0.25,360,372,Miércoles,No
2024-01-03,Pan Yema Redondo,0.25,360,360,Miércoles,No
2024-01-03,Pan Chapla,0.25,144,149,Miércoles,No
2024-01-03,Pan Coliza,0.25,192,190,Miércoles,No
2024-01-03,Pan Integral,0.25,144,140,Miércoles,No
2024-01-03,Pan Caracol,0.25,144,140,Miércoles,No
2024-01-03,Pan Hamburguesa,0.4,288,300,Miércoles,No
2024-01-03,Cachito,0.25,144,142,Miércoles,No
2024-01-03,Pan Manjar,0.3,24,25,Miércoles,No
2024-01-03,Leche,4.0,5,5,Miércoles,No
2024-01-03,Jamon,2.5,6,6,Miércoles,No
2024-01-03,Café,2.0,5,7,Miércoles,No
2024-01-03,Queso,3.0,4,5,Miércoles,No
2024-01-04,Pan Chabatta,0.25,768,773,Jueves,No
2024-01-04,Pan Francés,0.25,648,643,Jueves,No
2024-01-04,Pan Yema Largo,0.25,360,380,Jueves,No
2024-01-04,Pan Yema Redondo,0.25,360,361,Jueves,No
2024-01-04,Pan Chapla,0.25,144,144,Jueves,No
2024-01-04,Pan Coliza,0.25,192,196,Jueves,No
2024-01-04,Pan Integral,0.25,144,143,Jueves,No
2024-01-04,Pan Caracol,0.25,144,140,Jueves,No
2024-01-04,Pan Hamburguesa,0.4,288,287,Jueves,No
2024-01-04,Cachito,0.25,144,148,Jueves,No
2024-01-04,Pan Manjar,0.3,24,28,Jueves,No
2024-01-04,Leche,4.0,5,6,Jueves,No
2024-01-04,Jamon,2.5,6,4,Jueves,No
