Fecha,Venta Noche
2024-01-01,102
2024-01-02,115
2024-01-03,118
2024-01-04,111
2024-01-05,110
2024-01-06,110
2024-01-07,106
2024-01-08,115
2024-01-09,108
2024-01-10,117
2024-01-11,119
2024-01-12,111
2024-01-13,119
2024-01-14,106
2024-01-15,106
2024-01-16,108
2024-01-17,101
2024-01-18,117
2024-01-19,113
2024-01-20,118
2024-01-21,114
2024-01-22,119
2024-01-23,110
2024-01-24,110
2024-01-25,111
2024-01-26,101
2024-01-27,110
2024-01-28,119
2024-01-29,113
2024-01-30,102
2024-01-31,115
2024-02-01,117
2024-02-02,116
2024-02-03,102
2024-02-04,120
2024-02-05,101
2024-02-06,108
2024-02-07,102
2024-02-08,104
2024-02-09,103
2024-02-10,117
2024-02-11,115
2024-02-12,114
2024-02-13,113
2024-02-14,108
2024-02-15,110
2024-02-16,120
2024-02-17,107
2024-02-18,102
2024-02-19,100
2024-02-20,102
2024-02-21,102
2024-02-22,100
2024-02-23,104
2024-02-24,103
2024-02-25,114
2024-02-26,114
2024-02-27,115
2024-02-28,105
2024-02-29,107
2024-03-01,114
2024-03-02,112
2024-03-03,113
2024-03-04,101
2024-03-05,114
2024-03-06,101
2024-03-07,100
2024-03-08,115
2024-03-09,115
2024-03-10,112
2024-03-11,103
2024-03-12,100
2024-03-13,101
2024-03-14,102
2024-03-15,117
2024-03-16,113
2024-03-17,120
2024-03-18,106
2024-03-19,109
2024-03-20,116
2024-03-21,116
2024-03-22,115
2024-03-23,112
2024-03-24,109
2024-03-25,101
2024-03-26,102
2024-03-27,102
2024-03-28,118
2024-03-29,107
2024-03-30,101
2024-03-31,120
2024-04-01,113
2024-04-02,104
2024-04-03,114
2024-04-04,120
2024-04-05,100
2024-04-06,101
2024-04-07,114
2024-04-08,113
2024-04-09,112
2024-04-10,106
2024-04-11,107
2024-04-12,118
2024-04-13,119
2024-04-14,117
2024-04-15,111
2024-04-16,108
2024-04-17,117
2024-04-18,107
2024-04-19,112
2024-04-20,102
2024-04-21,105
2024-04-22,118
2024-04-23,108
2024-04-24,115
2024-04-25,109
2024-04-26,115
2024-04-27,118
2024-04-28,108
2024-04-29,100
2024-04-30,117
2024-05-01,100
2024-05-02,107
2024-05-03,110
2024-05-04,100
2024-05-05,101
2024-05-06,100
2024-05-07,109
2024-05-08,102
2024-05-09,120
2024-05-10,110
2024-05-11,117
2024-05-12,105
2024-05-13,117
2024-05-14,106
2024-05-15,116
2024-05-16,104
2024-05-17,108
2024-05-18,105
2024-05-19,111
2024-05-20,103
2024-05-21,116
2024-05-22,111
2024-05-23,106
2024-05-24,111
2024-05-25,107
2024-05-26,107
2024-05-27,119
2024-05-28,107
2024-05-29,103
2024-05-30,107
2024-05-31,114
2024-06-01,100
2024-06-02,108
2024-06-03,120
2024-06-04,119
2024-06-05,120
2024-06-06,112
2024-06-07,100
2024-06-08,120
2024-06-09,110
2024-06-10,100
2024-06-11,101
2024-06-12,120
2024-06-13,108
2024-06-14,113
2024-06-15,114
2024-06-16,109
2024-06-17,109
2024-06-18,111
2024-06-19,100
2024-06-20,101
2024-06-21,102
2024-06-22,109
2024-06-23,118
2024-06-24,118
2024-06-25,111
2024-06-26,104
2024-06-27,108
2024-06-28,115
2024-06-29,114
2024-06-30,111
2024-07-01,118
2024-07-02,101
2024-07-03,108
2024-07-04,114
2024-07-05,108
2024-07-06,113
2024-07-07,119
2024-07-08,109
2024-07-09,110
2024-07-10,118
2024-07-11,101
2024-07-12,117
2024-07-13,117
2024-07-14,102
2024-07-15,117
2024-07-16,101
2024-07-17,111
2024-07-18,109
2024-07-19,110
2024-07-20,100
2024-07-21,113
2024-07-22,103
2024-07-23,107
2024-07-24,104
2024-07-25,119
2024-07-26,119
2024-07-27,110
2024-07-28,111
2024-07-29,102
2024-07-30,105
2024-07-31,115
2024-08-01,100
2024-08-02,114
2024-08-03,102
2024-08-04,109
2024-08-05,119
2024-08-06,107
2024-08-07,109
2024-08-08,111
2024-08-09,109
2024-08-10,107
2024-08-11,102
2024-08-12,104
2024-08-13,102
2024-08-14,101
2024-08-15,120
2024-08-16,116
2024-08-17,113
2024-08-18,110
2024-08-19,118
2024-08-20,120
2024-08-21,110
2024-08-22,113
2024-08-23,109
2024-08-24,114
2024-08-25,114
2024-08-26,116
2024-08-27,119
2024-08-28,115
2024-08-29,118
2024-08-30,112
2024-08-31,107
2024-09-01,118
2024-09-02,119
2024-09-03,102
2024-09-04,118
2024-09-05,115
2024-09-06,114
2024-09-07,118
2024-09-08,110
2024-09-09,120
2024-09-10,113
2024-09-11,114
2024-09-12,103
2024-09-13,118
2024-09-14,107
2024-09-15,109
2024-09-16,116
2024-09-17,114
2024-09-18,100
2024-09-19,102
2024-09-20,104
2024-09-21,114
2024-09-22,104
2024-09-23,116
2024-09-24,112
2024-09-25,119
2024-09-26,106
2024-09-27,119
2024-09-28,116
2024-09-29,116
2024-09-30,105
2024-10-01,115
2024-10-02,117
2024-10-03,118
2024-10-04,110
2024-10-05,117
2024-10-06,102
2024-10-07,104
2024-10-08,106
2024-10-09,105
2024-10-10,116
2024-10-11,105
2024-10-12,103
2024-10-13,108
2024-10-14,104
2024-10-15,107
2024-10-16,106
2024-10-17,110
2024-10-18,105
2024-10-19,119
2024-10-20,103
2024-10-21,101
2024-10-22,119
2024-10-23,119
2024-10-24,105
2024-10-25,106
2024-10-26,119
2024-10-27,120
2024-10-28,104
2024-10-29,113
2024-10-30,105
2024-10-31,110
2024-11-01,101
2024-11-02,101
2024-11-03,102
2024-11-04,104
2024-11-05,102
2024-11-06,102
2024-11-07,112
2024-11-08,116
2024-11-09,111
2024-11-10,102
2024-11-11,112
2024-11-12,112
2024-11-13,100
2024-11-14,120
2024-11-15,116
2024-11-16,103
2024-11-17,102
2024-11-18,104
2024-11-19,119
2024-11-20,112
2024-11-21,103
2024-11-22,116
2024-11-23,115
2024-11-24,106
2024-11-25,104
2024-11-26,102
2024-11-27,112
2024-11-28,114
2024-11-29,110
2024-11-30,111
2024-12-01,108
2024-12-02,106
2024-12-03,119
2024-12-04,108
2024-12-05,119
2024-12-06,119
2024-12-07,120
2024-12-08,117
2024-12-09,101
2024-12-10,107
2024-12-11,102
2024-12-12,114
2024-12-13,109
2024-12-14,108
2024-12-15,109
2024-12-16,101
2024-12-17,100
2024-12-18,103
2024-12-19,107
2024-12-20,100
2024-12-21,111
2024-12-22,119
2024-12-23,101
2024-12-24,109
2024-12-25,106
2024-12-26,119
2024-12-27,104
2024-12-28,120
2024-12-29,107
2024-12-30,108
2024-12-31,109
