Fecha,Venta Noche
2024-01-01,88
2024-01-02,85
2024-01-03,83
2024-01-04,88
2024-01-05,82
2024-01-06,82
2024-01-07,89
2024-01-08,88
2024-01-09,87
2024-01-10,84
2024-01-11,89
2024-01-12,81
2024-01-13,90
2024-01-14,89
2024-01-15,80
2024-01-16,84
2024-01-17,83
2024-01-18,88
2024-01-19,82
2024-01-20,90
2024-01-21,80
2024-01-22,88
2024-01-23,83
2024-01-24,80
2024-01-25,89
2024-01-26,84
2024-01-27,84
2024-01-28,85
2024-01-29,84
2024-01-30,90
2024-01-31,82
2024-02-01,85
2024-02-02,83
2024-02-03,86
2024-02-04,83
2024-02-05,88
2024-02-06,88
2024-02-07,81
2024-02-08,82
2024-02-09,86
2024-02-10,87
2024-02-11,85
2024-02-12,85
2024-02-13,86
2024-02-14,83
2024-02-15,87
2024-02-16,81
2024-02-17,80
2024-02-18,80
2024-02-19,86
2024-02-20,82
2024-02-21,81
2024-02-22,90
2024-02-23,81
2024-02-24,83
2024-02-25,88
2024-02-26,86
2024-02-27,86
2024-02-28,86
2024-02-29,82
2024-03-01,89
2024-03-02,88
2024-03-03,81
2024-03-04,86
2024-03-05,83
2024-03-06,86
2024-03-07,90
2024-03-08,85
2024-03-09,84
2024-03-10,84
2024-03-11,83
2024-03-12,82
2024-03-13,87
2024-03-14,90
2024-03-15,89
2024-03-16,83
2024-03-17,84
2024-03-18,85
2024-03-19,90
2024-03-20,86
2024-03-21,84
2024-03-22,81
2024-03-23,87
2024-03-24,80
2024-03-25,86
2024-03-26,89
2024-03-27,89
2024-03-28,85
2024-03-29,88
2024-03-30,81
2024-03-31,83
2024-04-01,87
2024-04-02,87
2024-04-03,85
2024-04-04,86
2024-04-05,85
2024-04-06,85
2024-04-07,80
2024-04-08,83
2024-04-09,83
2024-04-10,82
2024-04-11,86
2024-04-12,89
2024-04-13,84
2024-04-14,87
2024-04-15,82
2024-04-16,85
2024-04-17,87
2024-04-18,82
2024-04-19,89
2024-04-20,81
2024-04-21,85
2024-04-22,90
2024-04-23,80
2024-04-24,80
2024-04-25,80
2024-04-26,80
2024-04-27,84
2024-04-28,80
2024-04-29,88
2024-04-30,83
2024-05-01,83
2024-05-02,82
2024-05-03,88
2024-05-04,89
2024-05-05,87
2024-05-06,85
2024-05-07,80
2024-05-08,81
2024-05-09,81
2024-05-10,82
2024-05-11,85
2024-05-12,83
2024-05-13,82
2024-05-14,89
2024-05-15,81
2024-05-16,82
2024-05-17,80
2024-05-18,90
2024-05-19,82
2024-05-20,81
2024-05-21,87
2024-05-22,82
2024-05-23,87
2024-05-24,85
2024-05-25,80
2024-05-26,81
2024-05-27,84
2024-05-28,84
2024-05-29,84
2024-05-30,86
2024-05-31,82
2024-06-01,85
2024-06-02,87
2024-06-03,81
2024-06-04,88
2024-06-05,81
2024-06-06,82
2024-06-07,89
2024-06-08,90
2024-06-09,90
2024-06-10,86
2024-06-11,81
2024-06-12,87
2024-06-13,81
2024-06-14,83
2024-06-15,82
2024-06-16,88
2024-06-17,88
2024-06-18,82
2024-06-19,88
2024-06-20,82
2024-06-21,81
2024-06-22,86
2024-06-23,87
2024-06-24,86
2024-06-25,85
2024-06-26,84
2024-06-27,80
2024-06-28,84
2024-06-29,81
2024-06-30,80
2024-07-01,84
2024-07-02,89
2024-07-03,83
2024-07-04,80
2024-07-05,88
2024-07-06,86
2024-07-07,90
2024-07-08,89
2024-07-09,85
2024-07-10,83
2024-07-11,84
2024-07-12,88
2024-07-13,87
2024-07-14,81
2024-07-15,87
2024-07-16,88
2024-07-17,80
2024-07-18,88
2024-07-19,88
2024-07-20,80
2024-07-21,87
2024-07-22,85
2024-07-23,84
2024-07-24,80
2024-07-25,85
2024-07-26,81
2024-07-27,83
2024-07-28,90
2024-07-29,84
2024-07-30,83
2024-07-31,87
2024-08-01,87
2024-08-02,89
2024-08-03,80
2024-08-04,82
2024-08-05,90
2024-08-06,82
2024-08-07,90
2024-08-08,87
2024-08-09,84
2024-08-10,83
2024-08-11,87
2024-08-12,83
2024-08-13,88
2024-08-14,87
2024-08-15,81
2024-08-16,82
2024-08-17,87
2024-08-18,81
2024-08-19,89
2024-08-20,84
2024-08-21,80
2024-08-22,85
2024-08-23,88
2024-08-24,87
2024-08-25,87
2024-08-26,89
2024-08-27,89
2024-08-28,89
2024-08-29,87
2024-08-30,87
2024-08-31,82
2024-09-01,80
2024-09-02,85
2024-09-03,86
2024-09-04,80
2024-09-05,88
2024-09-06,83
2024-09-07,87
2024-09-08,90
2024-09-09,90
2024-09-10,86
2024-09-11,86
2024-09-12,82
2024-09-13,86
2024-09-14,85
2024-09-15,87
2024-09-16,82
2024-09-17,84
2024-09-18,80
2024-09-19,80
2024-09-20,86
2024-09-21,87
2024-09-22,87
2024-09-23,88
2024-09-24,90
2024-09-25,86
2024-09-26,83
2024-09-27,80
2024-09-28,87
2024-09-29,85
2024-09-30,89
2024-10-01,86
2024-10-02,85
2024-10-03,86
2024-10-04,80
2024-10-05,85
2024-10-06,85
2024-10-07,83
2024-10-08,88
