Fecha,Venta Noche
2024-01-01,157
2024-01-02,170
2024-01-03,162
2024-01-04,162
2024-01-05,156
2024-01-06,164
2024-01-07,155
2024-01-08,168
2024-01-09,164
2024-01-10,152
2024-01-11,159
2024-01-12,158
2024-01-13,152
2024-01-14,157
2024-01-15,163
2024-01-16,157
2024-01-17,157
2024-01-18,164
2024-01-19,165
2024-01-20,151
2024-01-21,167
2024-01-22,153
2024-01-23,156
2024-01-24,168
2024-01-25,169
2024-01-26,168
2024-01-27,158
2024-01-28,169
2024-01-29,166
2024-01-30,155
2024-01-31,169
2024-02-01,165
2024-02-02,158
2024-02-03,168
2024-02-04,169
2024-02-05,161
2024-02-06,169
2024-02-07,170
2024-02-08,162
2024-02-09,157
2024-02-10,157
2024-02-11,161
2024-02-12,170
2024-02-13,160
2024-02-14,157
2024-02-15,151
2024-02-16,161
2024-02-17,151
2024-02-18,155
2024-02-19,166
2024-02-20,156
2024-02-21,161
2024-02-22,161
2024-02-23,170
2024-02-24,162
2024-02-25,151
2024-02-26,161
2024-02-27,150
2024-02-28,154
2024-02-29,170
2024-03-01,153
2024-03-02,151
2024-03-03,153
2024-03-04,156
2024-03-05,159
2024-03-06,150
2024-03-07,152
2024-03-08,153
2024-03-09,160
2024-03-10,152
2024-03-11,169
2024-03-12,159
2024-03-13,158
2024-03-14,167
2024-03-15,152
2024-03-16,168
2024-03-17,150
2024-03-18,167
2024-03-19,155
2024-03-20,160
2024-03-21,159
2024-03-22,152
2024-03-23,151
2024-03-24,166
2024-03-25,166
2024-03-26,166
2024-03-27,152
2024-03-28,156
2024-03-29,164
2024-03-30,161
2024-03-31,154
2024-04-01,156
2024-04-02,167
2024-04-03,150
2024-04-04,161
2024-04-05,168
2024-04-06,162
2024-04-07,158
2024-04-08,168
2024-04-09,160
2024-04-10,168
2024-04-11,166
2024-04-12,155
2024-04-13,165
2024-04-14,163
2024-04-15,163
2024-04-16,158
2024-04-17,157
2024-04-18,168
2024-04-19,159
2024-04-20,166
2024-04-21,157
2024-04-22,166
2024-04-23,159
2024-04-24,163
2024-04-25,167
2024-04-26,162
2024-04-27,158
2024-04-28,165
2024-04-29,150
2024-04-30,160
2024-05-01,152
2024-05-02,154
2024-05-03,163
2024-05-04,165
2024-05-05,161
2024-05-06,165
2024-05-07,155
2024-05-08,170
2024-05-09,165
2024-05-10,161
2024-05-11,163
2024-05-12,157
2024-05-13,168
2024-05-14,160
2024-05-15,157
2024-05-16,157
2024-05-17,157
2024-05-18,158
2024-05-19,167
2024-05-20,151
2024-05-21,151
2024-05-22,170
2024-05-23,155
2024-05-24,160
2024-05-25,162
2024-05-26,154
2024-05-27,152
2024-05-28,167
2024-05-29,150
2024-05-30,160
2024-05-31,162
2024-06-01,170
2024-06-02,164
2024-06-03,153
2024-06-04,153
2024-06-05,159
2024-06-06,163
2024-06-07,150
2024-06-08,156
2024-06-09,157
2024-06-10,153
2024-06-11,157
2024-06-12,167
2024-06-13,156
2024-06-14,159
2024-06-15,166
2024-06-16,155
2024-06-17,161
2024-06-18,151
2024-06-19,153
2024-06-20,151
2024-06-21,163
2024-06-22,153
2024-06-23,170
2024-06-24,154
2024-06-25,165
2024-06-26,168
2024-06-27,164
2024-06-28,169
2024-06-29,166
2024-06-30,152
2024-07-01,159
2024-07-02,159
2024-07-03,159
2024-07-04,152
2024-07-05,159
2024-07-06,164
2024-07-07,150
2024-07-08,156
2024-07-09,157
2024-07-10,165
2024-07-11,168
2024-07-12,165
2024-07-13,165
2024-07-14,163
2024-07-15,168
2024-07-16,152
2024-07-17,170
2024-07-18,169
2024-07-19,154
2024-07-20,156
2024-07-21,154
2024-07-22,156
2024-07-23,168
2024-07-24,152
2024-07-25,165
2024-07-26,168
2024-07-27,160
2024-07-28,170
2024-07-29,156
2024-07-30,160
2024-07-31,155
2024-08-01,169
2024-08-02,153
2024-08-03,152
2024-08-04,167
2024-08-05,160
2024-08-06,152
2024-08-07,161
2024-08-08,165
2024-08-09,165
2024-08-10,156
2024-08-11,156
2024-08-12,158
2024-08-13,151
2024-08-14,164
2024-08-15,170
2024-08-16,152
2024-08-17,158
2024-08-18,163
2024-08-19,150
2024-08-20,163
2024-08-21,169
2024-08-22,170
2024-08-23,164
2024-08-24,165
2024-08-25,153
2024-08-26,162
2024-08-27,164
2024-08-28,153
2024-08-29,153
2024-08-30,151
2024-08-31,156
2024-09-01,158
2024-09-02,170
2024-09-03,163
2024-09-04,158
2024-09-05,151
2024-09-06,162
2024-09-07,152
2024-09-08,152
2024-09-09,152
2024-09-10,169
2024-09-11,156
2024-09-12,164
2024-09-13,166
2024-09-14,150
2024-09-15,164
2024-09-16,165
2024-09-17,169
2024-09-18,156
2024-09-19,160
2024-09-20,161
2024-09-21,157
2024-09-22,151
2024-09-23,156
2024-09-24,156
2024-09-25,168
2024-09-26,167
2024-09-27,161
2024-09-28,162
2024-09-29,152
2024-09-30,150
2024-10-01,166
2024-10-02,158
2024-10-03,153
2024-10-04,156
2024-10-05,155
2024-10-06,165
2024-10-07,166
2024-10-08,159
2024-10-09,165
2024-10-10,162
2024-10-11,159
2024-10-12,167
2024-10-13,155
2024-10-14,170
2024-10-15,150
2024-10-16,155
2024-10-17,166
2024-10-18,160
2024-10-19,158
2024-10-20,155
