Fecha,Venta Noche
2024-01-01,21
2024-01-02,21
2024-01-03,21
2024-01-04,37
2024-01-05,29
2024-01-06,31
2024-01-07,24
2024-01-08,37
2024-01-09,25
2024-01-10,27
2024-01-11,27
2024-01-12,26
2024-01-13,26
2024-01-14,24
2024-01-15,28
2024-01-16,39
2024-01-17,31
2024-01-18,29
2024-01-19,28
2024-01-20,29
2024-01-21,39
2024-01-22,34
2024-01-23,29
2024-01-24,36
2024-01-25,20
2024-01-26,30
2024-01-27,31
2024-01-28,32
2024-01-29,23
2024-01-30,23
2024-01-31,34
2024-02-01,27
2024-02-02,29
2024-02-03,37
2024-02-04,25
2024-02-05,29
2024-02-06,35
2024-02-07,37
2024-02-08,26
2024-02-09,35
2024-02-10,25
2024-02-11,28
2024-02-12,25
2024-02-13,23
2024-02-14,31
2024-02-15,35
2024-02-16,21
2024-02-17,26
2024-02-18,26
2024-02-19,21
2024-02-20,27
2024-02-21,29
2024-02-22,36
2024-02-23,28
2024-02-24,36
2024-02-25,36
2024-02-26,20
2024-02-27,25
2024-02-28,20
2024-02-29,25
2024-03-01,21
2024-03-02,33
2024-03-03,37
2024-03-04,23
2024-03-05,36
2024-03-06,29
2024-03-07,34
2024-03-08,38
2024-03-09,22
2024-03-10,30
2024-03-11,20
2024-03-12,33
2024-03-13,26
2024-03-14,32
2024-03-15,33
2024-03-16,25
2024-03-17,36
2024-03-18,38
2024-03-19,27
2024-03-20,38
2024-03-21,38
2024-03-22,21
2024-03-23,39
2024-03-24,40
2024-03-25,25
2024-03-26,27
2024-03-27,26
2024-03-28,21
2024-03-29,24
2024-03-30,31
2024-03-31,33
2024-04-01,36
2024-04-02,34
2024-04-03,21
2024-04-04,35
2024-04-05,40
2024-04-06,34
2024-04-07,23
2024-04-08,39
2024-04-09,33
2024-04-10,37
2024-04-11,30
2024-04-12,39
2024-04-13,34
2024-04-14,33
2024-04-15,34
2024-04-16,28
2024-04-17,28
2024-04-18,22
2024-04-19,26
2024-04-20,40
2024-04-21,40
2024-04-22,38
2024-04-23,29
2024-04-24,30
2024-04-25,32
2024-04-26,28
2024-04-27,39
2024-04-28,30
2024-04-29,37
2024-04-30,34
2024-05-01,38
2024-05-02,27
2024-05-03,21
2024-05-04,30
2024-05-05,23
2024-05-06,39
2024-05-07,21
2024-05-08,31
2024-05-09,27
2024-05-10,22
2024-05-11,33
2024-05-12,20
2024-05-13,38
2024-05-14,25
2024-05-15,38
2024-05-16,24
2024-05-17,39
2024-05-18,34
2024-05-19,20
2024-05-20,36
2024-05-21,40
2024-05-22,38
2024-05-23,29
2024-05-24,31
2024-05-25,36
2024-05-26,28
2024-05-27,34
2024-05-28,23
