Fecha,Venta Noche
2024-01-01,241
2024-01-02,241
2024-01-03,228
2024-01-04,247
2024-01-05,265
2024-01-06,261
2024-01-07,251
2024-01-08,255
2024-01-09,263
2024-01-10,268
2024-01-11,257
2024-01-12,233
2024-01-13,253
2024-01-14,258
2024-01-15,253
2024-01-16,240
2024-01-17,238
2024-01-18,246
2024-01-19,250
2024-01-20,251
2024-01-21,238
2024-01-22,227
2024-01-23,234
2024-01-24,239
2024-01-25,263
2024-01-26,258
2024-01-27,232
2024-01-28,260
2024-01-29,247
2024-01-30,230
2024-01-31,265
2024-02-01,267
2024-02-02,266
2024-02-03,242
2024-02-04,242
2024-02-05,230
2024-02-06,263
2024-02-07,237
2024-02-08,241
2024-02-09,262
2024-02-10,251
2024-02-11,247
2024-02-12,249
2024-02-13,269
2024-02-14,232
2024-02-15,241
2024-02-16,254
2024-02-17,250
2024-02-18,270
2024-02-19,235
2024-02-20,253
2024-02-21,267
2024-02-22,243
2024-02-23,246
2024-02-24,248
2024-02-25,268
2024-02-26,261
2024-02-27,241
2024-02-28,253
2024-02-29,251
2024-03-01,260
2024-03-02,251
2024-03-03,236
2024-03-04,225
2024-03-05,248
2024-03-06,235
2024-03-07,240
2024-03-08,245
2024-03-09,269
2024-03-10,239
2024-03-11,232
2024-03-12,257
2024-03-13,239
2024-03-14,265
2024-03-15,226
2024-03-16,266
2024-03-17,248
2024-03-18,227
2024-03-19,258
2024-03-20,254
2024-03-21,243
2024-03-22,253
2024-03-23,225
2024-03-24,245
2024-03-25,270
2024-03-26,266
2024-03-27,240
2024-03-28,243
2024-03-29,265
2024-03-30,262
2024-03-31,252
2024-04-01,244
2024-04-02,258
2024-04-03,237
2024-04-04,239
2024-04-05,228
2024-04-06,243
2024-04-07,261
2024-04-08,232
2024-04-09,240
2024-04-10,270
2024-04-11,237
2024-04-12,257
2024-04-13,244
2024-04-14,241
2024-04-15,235
2024-04-16,253
2024-04-17,264
2024-04-18,235
2024-04-19,243
2024-04-20,236
2024-04-21,245
2024-04-22,262
2024-04-23,265
2024-04-24,265
2024-04-25,228
2024-04-26,242
2024-04-27,245
2024-04-28,263
2024-04-29,254
2024-04-30,257
2024-05-01,250
2024-05-02,242
2024-05-03,253
2024-05-04,241
2024-05-05,251
2024-05-06,253
2024-05-07,253
2024-05-08,257
2024-05-09,232
2024-05-10,232
2024-05-11,239
2024-05-12,233
2024-05-13,267
2024-05-14,266
2024-05-15,255
2024-05-16,228
2024-05-17,257
2024-05-18,252
2024-05-19,256
2024-05-20,256
2024-05-21,246
2024-05-22,229
2024-05-23,239
2024-05-24,260
2024-05-25,247
2024-05-26,228
2024-05-27,225
2024-05-28,259
2024-05-29,253
2024-05-30,259
2024-05-31,252
2024-06-01,253
2024-06-02,234
2024-06-03,232
2024-06-04,241
2024-06-05,263
2024-06-06,264
2024-06-07,266
2024-06-08,266
2024-06-09,235
2024-06-10,233
2024-06-11,225
2024-06-12,266
2024-06-13,269
2024-06-14,253
2024-06-15,225
2024-06-16,257
2024-06-17,246
2024-06-18,228
2024-06-19,236
2024-06-20,255
2024-06-21,250
2024-06-22,243
2024-06-23,261
2024-06-24,253
2024-06-25,262
2024-06-26,234
2024-06-27,227
2024-06-28,268
2024-06-29,236
2024-06-30,251
2024-07-01,264
2024-07-02,238
2024-07-03,255
2024-07-04,258
2024-07-05,227
2024-07-06,233
2024-07-07,255
2024-07-08,258
2024-07-09,243
2024-07-10,232
2024-07-11,236
2024-07-12,247
2024-07-13,268
2024-07-14,241
2024-07-15,270
2024-07-16,238
