Fecha,Venta Noche
2024-01-01,75
2024-01-02,78
2024-01-03,73
2024-01-04,80
2024-01-05,79
2024-01-06,70
2024-01-07,71
2024-01-08,73
2024-01-09,74
2024-01-10,76
2024-01-11,75
2024-01-12,75
2024-01-13,74
2024-01-14,70
2024-01-15,77
2024-01-16,70
2024-01-17,77
2024-01-18,77
2024-01-19,71
2024-01-20,78
2024-01-21,71
2024-01-22,70
2024-01-23,79
2024-01-24,80
2024-01-25,70
2024-01-26,74
2024-01-27,72
2024-01-28,76
2024-01-29,70
2024-01-30,73
2024-01-31,76
2024-02-01,76
2024-02-02,80
2024-02-03,74
2024-02-04,77
2024-02-05,72
2024-02-06,79
2024-02-07,74
2024-02-08,74
2024-02-09,74
2024-02-10,78
2024-02-11,71
2024-02-12,74
2024-02-13,76
2024-02-14,71
2024-02-15,70
2024-02-16,75
2024-02-17,79
2024-02-18,78
2024-02-19,75
2024-02-20,72
2024-02-21,74
2024-02-22,76
2024-02-23,78
2024-02-24,76
2024-02-25,77
2024-02-26,72
2024-02-27,75
2024-02-28,70
2024-02-29,74
2024-03-01,71
2024-03-02,71
2024-03-03,78
2024-03-04,76
2024-03-05,76
2024-03-06,77
2024-03-07,72
2024-03-08,77
2024-03-09,75
2024-03-10,71
2024-03-11,71
2024-03-12,76
2024-03-13,78
2024-03-14,75
2024-03-15,77
2024-03-16,76
2024-03-17,70
2024-03-18,70
2024-03-19,73
2024-03-20,70
2024-03-21,80
2024-03-22,70
2024-03-23,74
2024-03-24,78
2024-03-25,79
2024-03-26,73
2024-03-27,77
2024-03-28,78
2024-03-29,75
2024-03-30,73
2024-03-31,73
2024-04-01,77
2024-04-02,78
2024-04-03,74
2024-04-04,79
2024-04-05,79
2024-04-06,70
2024-04-07,80
2024-04-08,77
2024-04-09,73
2024-04-10,79
2024-04-11,73
2024-04-12,70
2024-04-13,78
2024-04-14,80
2024-04-15,72
2024-04-16,72
2024-04-17,74
2024-04-18,74
2024-04-19,75
2024-04-20,71
2024-04-21,79
2024-04-22,74
2024-04-23,72
2024-04-24,76
2024-04-25,71
2024-04-26,80
2024-04-27,80
2024-04-28,70
2024-04-29,73
2024-04-30,70
2024-05-01,79
2024-05-02,71
2024-05-03,80
2024-05-04,78
2024-05-05,79
2024-05-06,77
2024-05-07,79
2024-05-08,71
2024-05-09,75
2024-05-10,74
2024-05-11,78
2024-05-12,70
2024-05-13,80
2024-05-14,75
2024-05-15,70
2024-05-16,77
2024-05-17,77
2024-05-18,73
2024-05-19,80
2024-05-20,78
2024-05-21,78
2024-05-22,76
2024-05-23,76
2024-05-24,78
2024-05-25,74
2024-05-26,74
2024-05-27,73
2024-05-28,77
2024-05-29,72
2024-05-30,75
2024-05-31,80
2024-06-01,75
2024-06-02,76
2024-06-03,80
2024-06-04,80
2024-06-05,73
2024-06-06,70
2024-06-07,79
2024-06-08,71
2024-06-09,72
2024-06-10,72
2024-06-11,78
2024-06-12,78
2024-06-13,79
2024-06-14,76
2024-06-15,77
2024-06-16,74
2024-06-17,76
2024-06-18,79
2024-06-19,74
2024-06-20,74
2024-06-21,74
2024-06-22,72
2024-06-23,77
2024-06-24,73
2024-06-25,75
2024-06-26,73
2024-06-27,72
2024-06-28,78
2024-06-29,71
2024-06-30,77
2024-07-01,80
2024-07-02,72
2024-07-03,76
2024-07-04,76
2024-07-05,75
2024-07-06,79
2024-07-07,80
2024-07-08,70
2024-07-09,77
2024-07-10,74
2024-07-11,78
2024-07-12,70
2024-07-13,76
2024-07-14,71
2024-07-15,75
2024-07-16,71
2024-07-17,70
2024-07-18,75
2024-07-19,78
2024-07-20,71
2024-07-21,72
2024-07-22,76
2024-07-23,73
2024-07-24,76
2024-07-25,79
2024-07-26,71
2024-07-27,73
2024-07-28,72
2024-07-29,77
2024-07-30,79
2024-07-31,79
2024-08-01,75
2024-08-02,74
2024-08-03,78
2024-08-04,79
2024-08-05,78
2024-08-06,80
