Fecha,Venta Noche
2024-01-01,27
2024-01-02,20
2024-01-03,32
2024-01-04,22
2024-01-05,21
2024-01-06,25
2024-01-07,40
2024-01-08,27
2024-01-09,20
2024-01-10,26
2024-01-11,29
2024-01-12,40
2024-01-13,20
2024-01-14,34
2024-01-15,21
2024-01-16,29
2024-01-17,26
2024-01-18,37
2024-01-19,21
2024-01-20,35
2024-01-21,22
2024-01-22,22
2024-01-23,28
2024-01-24,28
2024-01-25,24
2024-01-26,25
2024-01-27,38
2024-01-28,27
2024-01-29,26
2024-01-30,35
2024-01-31,32
2024-02-01,27
2024-02-02,37
2024-02-03,34
2024-02-04,29
2024-02-05,30
2024-02-06,28
2024-02-07,40
2024-02-08,20
2024-02-09,23
2024-02-10,20
2024-02-11,35
2024-02-12,27
2024-02-13,23
2024-02-14,24
2024-02-15,36
2024-02-16,35
2024-02-17,22
2024-02-18,27
2024-02-19,28
2024-02-20,40
2024-02-21,29
2024-02-22,35
2024-02-23,20
2024-02-24,21
2024-02-25,29
2024-02-26,22
2024-02-27,24
2024-02-28,28
2024-02-29,24
2024-03-01,31
2024-03-02,34
2024-03-03,32
2024-03-04,36
2024-03-05,30
2024-03-06,33
2024-03-07,33
2024-03-08,40
2024-03-09,31
2024-03-10,31
2024-03-11,25
2024-03-12,21
2024-03-13,28
2024-03-14,28
2024-03-15,24
2024-03-16,33
2024-03-17,39
2024-03-18,22
2024-03-19,32
2024-03-20,36
2024-03-21,32
2024-03-22,39
2024-03-23,29
2024-03-24,31
2024-03-25,37
2024-03-26,39
2024-03-27,30
2024-03-28,21
2024-03-29,34
2024-03-30,29
2024-03-31,23
2024-04-01,26
2024-04-02,30
2024-04-03,28
2024-04-04,38
2024-04-05,35
2024-04-06,38
2024-04-07,27
2024-04-08,40
2024-04-09,21
2024-04-10,26
2024-04-11,24
2024-04-12,39
2024-04-13,29
2024-04-14,34
2024-04-15,27
2024-04-16,30
2024-04-17,40
2024-04-18,27
2024-04-19,29
2024-04-20,33
2024-04-21,30
2024-04-22,26
2024-04-23,27
2024-04-24,35
2024-04-25,37
2024-04-26,34
2024-04-27,39
2024-04-28,32
2024-04-29,23
2024-04-30,32
2024-05-01,37
2024-05-02,36
2024-05-03,33
2024-05-04,25
2024-05-05,39
2024-05-06,24
2024-05-07,29
2024-05-08,29
2024-05-09,24
2024-05-10,24
2024-05-11,22
2024-05-12,36
2024-05-13,27
2024-05-14,26
2024-05-15,39
2024-05-16,23
2024-05-17,29
2024-05-18,30
2024-05-19,23
2024-05-20,21
2024-05-21,40
2024-05-22,29
2024-05-23,31
2024-05-24,31
2024-05-25,24
2024-05-26,25
2024-05-27,22
2024-05-28,20
2024-05-29,39
2024-05-30,38
