fecha,producto,tipo,precio,stock,ventas
2023-01-01,Pan Chabatta,Panes,0.25,768,740
2023-01-01,Pan Francés,Panes,0.25,648,613
2023-01-01,Pan Yema Largo,Panes,0.25,360,321
2023-01-01,Pan Yema Redondo,Panes,0.25,360,320
2023-01-01,Pan Chapla,Panes,0.25,144,110
2023-01-01,Pan Coliza,Panes,0.25,192,171
2023-01-01,Pan Integral,Panes,0.25,144,112
2023-01-01,Pan Caracol,Panes,0.25,144,113
2023-01-01,Pan Hamburguesa,Panes,0.4,288,241
2023-01-01,Cachito,Panes,0.25,144,110
2023-01-01,Pan Manjar,Panes,0.3,72,69
2023-01-01,Leche,Abarrotes,4.0,5,5
2023-01-01,Jamon,Abarrotes,2.5,6,4
2023-01-01,Café,Abarrotes,2.0,5,4
2023-01-01,Queso,Abarrotes,3.0,4,4
2023-01-01,Alfajores Pequeños,Bocaditos,0.25,200,152
2023-01-01,Alfajores Grandes,Bocaditos,1.0,100,81
2023-01-01,Galletas Pequeñas,Bocaditos,0.25,200,155
2023-01-01,Galletas Grandes,Bocaditos,1.0,300,295
2023-01-01,Cookie,Bocaditos,2.0,100,70
2023-01-01,Orejitas Pequeñas,Bocaditos,0.25,200,159
2023-01-01,Orejas Grandes,Bocaditos,1.0,100,70
2023-01-01,Beso de Moza,Bocaditos,1.0,80,59
2023-01-01,Caramandugas,Bocaditos,0.25,300,250
2023-01-01,Rosquitas,Bocaditos,0.25,300,260
2023-01-02,Pan Chabatta,Panes,0.25,768,720
2023-01-02,Pan Francés,Panes,0.25,648,610
2023-01-02,Pan Yema Largo,Panes,0.25,360,320
2023-01-02,Pan Yema Redondo,Panes,0.25,360,320
2023-01-02,Pan Chapla,Panes,0.25,144,110
2023-01-02,Pan Coliza,Panes,0.25,192,170
2023-01-02,Pan Integral,Panes,0.25,144,110
2023-01-02,Pan Caracol,Panes,0.25,144,110
2023-01-02,Pan Hamburguesa,Panes,0.4,288,240
2023-01-02,Cachito,Panes,0.25,144,110
2023-01-02,Pan Manjar,Panes,0.3,72,68
2023-01-02,Leche,Abarrotes,4.0,5,2
2023-01-02,Jamon,Abarrotes,2.5,6,3
2023-01-02,Café,Abarrotes,2.0,5,2
2023-01-02,Queso,Abarrotes,3.0,4,2
